issue_type,guilty,case_count,total_cases,percentage,related_laws,defendant_behavior,key_evidence,defense_reason,court_response,reference_cases
明知帳戶可能被用於犯罪仍交付,TRUE,60,66, 0.91 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條","被告明知其提供的金融帳戶可能被用於詐欺，仍選擇交付，並協助詐欺集團進行資金提領與隱匿金流。
被告依詐欺集團指示，將金融帳戶的提款卡、密碼及相關資料提供給不明人士，並協助進行詐騙行為。
被告在提供金融帳戶時，已預見該帳戶可能被用於犯罪，仍選擇交付，並主動協助詐欺集團進行轉帳或提領。
被告透過通訊軟體或其他方式，將金融帳戶資料傳送給詐欺集團成員，並協助其進行詐騙行為。
被告在特定情況下，因金錢利益而提供金融帳戶資料，明知該行為可能涉及詐欺及洗錢。","被告承認提供帳戶資料或提款卡的自白，顯示其明知帳戶可能被用於犯罪行為。
銀行交易明細顯示帳戶在短時間內異常大量提款，暗示該帳戶被用於詐騙或洗錢。
被告與詐欺集團成員的通訊紀錄，顯示其對帳戶交付的意圖及相關討論。
監視器畫面顯示被告親自進行與帳戶相關的交易，強化其參與該行為的證據。
受害者提供的匯款紀錄及對話紀錄，證明被告的帳戶涉及詐騙行為並造成他人損失。","被告聲稱是因為急需貸款或生活費，誤信對方指示提供帳戶，並未預見會被用於犯罪。
被告表示未獲取報酬，認為自身不應承擔刑責。
被告主張是出於信任或協助朋友的理由提供帳戶，並未意圖參與犯罪。
被告於案發後主動聯繫銀行掛失帳戶，試圖補救其行為。
被告聲稱不知詐騙集團的運作，並未意圖協助犯罪。","被告可合理預見帳戶可能被用於不法，但仍選擇交付，符合犯罪構成要件。
被告的辯解缺乏可信性，且其行為助長詐欺風氣，影響社會秩序。
被告的辯解未能推翻其主觀故意，且行為助長詐欺風氣，影響社會秩序。
根據法律，幫助犯罪即屬犯罪，無須證明被告實際獲利。
銀行交易紀錄顯示帳戶異常交易與詐欺案受害人匯款時間吻合，推翻被告的說法。","111-TW-0099, 111-TW-0729, 112-TW-1248, 112-TW-1343, 112-TW-1465"
明知帳戶可能被用於犯罪仍交付,FALSE,6,66, 0.09 ,"《刑法》第339條之4, 《洗錢防制法》第14條, 《洗錢防制法》第19條","被告因應徵工作而提供帳戶資料，未意識到可能的犯罪風險。
被告在提供帳戶資訊後察覺異常，主動聯繫銀行以防止損失。
被告因信任對方而提供帳戶資料，未充分考慮潛在的犯罪用途。
被告明知提供帳戶資料將會獲得金錢利益，仍選擇交付帳戶。
被告在提供帳戶時，對詐欺集團的行為缺乏警覺，未預見其行為的後果。","被告缺乏社會經驗，易受騙，無法預見帳戶被用於犯罪。
被告在發現異常後立即採取行動，例如掛失提款卡，顯示其無犯罪意圖。
被告提供帳戶資料時，並未意識到該行為可能被利用於詐騙或洗錢。
被告的社會背景及無犯罪前科顯示其生活經驗單純，缺乏對潛在風險的認知。
被告與對方的通訊紀錄顯示其對工作流程的詢問，表明其對情況的疑慮。","被告因信任對方的工作邀約而提供帳戶，未預見該行為可能被用於犯罪。
被告主張理解能力不足，無法預見對方的詐騙意圖。
被告引用先前判決無罪的案例，主張應免訴。
被告強調未獲取報酬，並在發現異常後主動報警處理。
被告表示自己是因為受騙而提供帳戶資料，並非詐欺的共犯。","被告未預見其行為可能被用於犯罪，且證據不足以證明有意圖參與犯罪。
被告的行為未達到幫助犯罪的故意，缺乏證據證明犯罪意圖。
案件因與前案具有想像競合犯之關係而不受理。
案件因為重複起訴而不受理，未進一步探討被告的預見能力。
檢察官未能提供足夠證據證明被告有罪，被告行為可能基於信任而非詐欺意圖。","113-TW-1367, 113-TW-0982, 113-TW-01425, 113-TW-3201, 113-TW-1121"
意圖以詐術使人交付財物,TRUE,85,87, 0.98 ,"《刑法》第30條, 《刑法》第30條第1項前段, 《刑法》第320條, 《刑法》第339條, 《刑法》第339條之4, 《刑法》第339條第1項, 《詐欺犯罪危害防制條例》第43條","被告明知其行為可能涉及詐欺，仍選擇提供金融帳戶資訊，助長詐欺行為的發生。
被告與他人共同策劃並執行詐欺行為，導致多名被害人損失財物。
被告協助詐欺集團進行詐騙行為，並提供必要的金融工具或帳戶資料。
被告的行為直接導致他人財物被詐取，並未對詐欺行為提出質疑。
被告利用詐欺手法使受害人匯款至其帳戶，並提領詐欺所得。","被告的帳戶被用於詐欺集團的資金流動，顯示其參與詐騙行為。
受害人證詞及匯款紀錄證明詐騙行為的發生，並顯示被告的帳戶與詐騙事件的關聯。
被告的自白與其他被告的供述一致，證明其參與詐欺行為。
詐欺集團的受害者報案紀錄與匯款證據，顯示詐騙行為的具體情況。
被告與詐欺集團成員的通話紀錄，顯示其與詐騙行為的聯繫。","被告主張其行為並非故意詐騙，且未獲取任何利益。
被告聲稱自己並未直接參與詐騙行為，僅提供帳戶。
被告否認有意圖詐騙，並主張其行為是出於誤信。
被告表示其行為是出於信任，並未意圖參與犯罪。
被告聲稱自己是受害者，並未參與詐騙行為。","被告的行為符合詐欺罪的構成要件，且辯解不具說服力。
被告的行為已構成幫助詐欺，並應負刑事責任。
被告的行為對詐欺行為有直接的幫助作用。
被告的辯解未能推翻其犯罪事實，法院依據證據作出判決。
被告的行為對社會造成了實質損害，應依法處罰。","111-TW-0099, 112-TW-0162, 112-TW-1221, 112-TW-1248, 112-TW-1344"
意圖以詐術使人交付財物,FALSE,2,87, 0.02 ,"《刑法》第339條, 《洗錢防制法》第14條","被告因信任他人而提供個人帳戶，導致資金被不當使用。
被告依照他人指示進行資金提領，未能確認資金用途的合法性。
被告在不明確了解交易內容的情況下，參與匯款或資金轉移。
被告因缺乏警覺而參與購買虛擬貨幣，未考慮其潛在風險。
被告在社交關係中受到影響，依賴他人決策而未進行獨立判斷。","被告與詐欺集團成員的通訊紀錄顯示缺乏詐欺意圖，對話內容多為日常交流，無明確詐騙行為的證據。
銀行交易明細顯示提領款項的時間與金額與被告的行為無關，且有其他合理解釋，無法證明詐欺行為的存在。
被告的帳戶被用於詐騙，但被告並不知情，且無證據顯示其參與詐騙計劃，顯示缺乏故意。
LINE對話紀錄中缺乏詐騙的具體指示或計劃，對話內容模糊，無法構成詐欺的直接證據。
被告提供的證據顯示其在該交易中有合理的商業目的，並非單純為詐騙行為。","被告因貸款需求提供帳戶資料，未預見該帳戶會被用於詐欺行為。
被告主張自己是受騙，並無詐欺及洗錢的故意。
被告在提供帳戶時並未提供提款卡及密碼，顯示無犯罪意圖。
被告對於法律不熟悉，無法預見行為的犯罪性。
被告主張缺乏直接證據證明其參與詐欺行為。","被告未能證明其行為具有詐欺的故意，且缺乏對詐欺集團的認識或預見。
法院認為無法確定被告有犯罪的故意，因證據不足以支持詐欺的指控。
被告的行為未顯示出故意詐欺的意圖，法院強調主觀故意的重要性。
法院指出原審未考量被告與對方的信任關係，影響對詐欺故意的認定。
被告的行為雖然可預見可能涉及犯罪，但缺乏直接的詐欺意圖證據。","113-TW-0146, 113-TW-0011"
參與三人以上共同詐欺取財,TRUE,17,18, 0.94 ,"《刑法》第339條, 《刑法》第339條之4","被告負責收集或提供金融帳戶資料，供詐欺集團使用。
被告參與詐欺集團的策劃與執行，並擔任提領詐騙所得的角色。
被告以金錢誘使他人提供帳戶資料，協助詐欺行為。
被告協助詐欺集團進行網路銀行操作，隱匿詐騙所得。
被告與其他成員共同策劃詐騙行為，並多次提領贓款。","被告與詐欺集團成員的通訊紀錄顯示其參與詐騙活動，並與其他成員保持聯繫。
監視器畫面顯示被告在詐騙過程中的具體行為，證明其參與詐欺行為。
銀行交易明細顯示被告的帳戶在短時間內有異常交易，與詐騙行為相關。
證人證言或被告供述與其他證據相符，提供了被告參與詐欺的直接證據。
受害人對詐騙過程的詳細描述及匯款紀錄，證明被告的行為與詐騙結果之間的關聯。","被告否認參與詐欺行為，主張未收取任何報酬，並表示其行為未造成他人損失。
被告聲稱自己只是協助，並未直接參與詐騙，且未獲得實質利益，認為行為不構成犯罪。
被告主張不知所提領的款項為詐欺所得，並表示其行為是依照他人指示進行的。
被告辯稱其行為並非故意，且未獲取任何利益，並表示有意願賠償但目前無力繳納。
被告主張自己是受害者，並未參與詐欺行為，表示對詐欺集團的真實意圖不知情。","被告的行為符合三人以上共同詐欺取財的構成要件，且證據支持其犯罪事實。
被告的辯解無法推翻其參與詐欺的事實，且根據法律，參與詐欺即屬犯罪。
被告明知其行為為詐欺，仍選擇參與，符合犯罪構成要件。
被告的辯解缺乏可信度，因其明知參與詐欺行為。
被告的行為對社會造成了損害，應予以懲處。","111-TW-0360, 111-TW-0579, 112-TW-0110, 113-TW-1301, 113-TW-1465"
參與三人以上共同詐欺取財,FALSE,1,18, 0.06 ,《刑法》第339條第1項,"被告因求職而被詐騙，顯示出對於工作機會的渴望可能使其容易受到他人操控。
被告在他人指示下提領款項，顯示出缺乏獨立判斷能力，可能是因為對詐騙者的信任。
被告購買虛擬貨幣的行為，反映出對新興金融產品的認知不足，容易被詐騙者利用。
被告的行為顯示出在社會壓力或經濟困境下，個人可能作出不理智的決策。
被告未能充分了解交易的風險，顯示出對金融知識的缺乏，成為詐騙的受害者。","被告的供述與證人證詞不一致，導致對被告的指控缺乏可信度。在113-TW-0065案件中，證人對被告的描述與被告的自我辯護存在顯著差異，影響了證據的整體效力。
被告的行為未能被證明與詐欺行為有直接關聯。LINE對話紀錄顯示被告的行為並未涉及具體的詐欺計畫，反而顯示其對事件的反應是被動的。
缺乏直接證據證明被告的參與。案件中並未提供足夠的物證或直接證據來支持被告參與詐欺的指控，這使得控方的論點無法成立。
證人證詞的可信度受到質疑。某些證人可能因個人利益或偏見而提供不實證詞，這在案件中被辯護律師指出，進一步削弱了控方的立場。
被告的行為符合無罪推定原則。根據法律原則，除非有充分證據證明被告有罪，否則應推定其無罪。在此案件中，控方未能提供足夠的證據來推翻這一原則。","1. 不知情辯護：被告主張自己對於詐欺行為並不知情，並未參與任何詐欺計畫，這種辯護常見於被告與其他共犯之間的關係不明確的情況，例如在113-TW-0065案中，被告聲稱只是因為求職而提供帳戶。
2. 無法控制的行為：被告強調自己在該事件中並未主動參與或控制任何行為，這類辯護通常用於證明被告缺乏詐欺意圖，像是某些案例中被告僅是被動接受他人要求。
3. 帳戶保管的主張：被告指出自己保留帳戶的提款卡及密碼，顯示其對帳戶的控制，這種情況下，被告可能會主張自己並未實際使用該帳戶進行詐欺行為。
4. 求職動機辯護：被告聲稱其提供帳戶是出於求職的需求，而非參與詐欺，這種辯護模式強調被告的動機與詐欺行為無關，常見於涉及求職詐騙的案件。
5. 缺乏證據支持：被告辯稱檢方未能提供足夠的證據證明其參與詐欺行為，這種模式強調法律上對於有罪推定的要求，要求檢方提供具體的證據來支持指控。","法院認為證據不足以證明被告的犯罪意圖，強調主觀故意是詐欺罪的核心要素，無法僅依賴外在行為來判斷。
法院指出被告的行為未達到共同詐欺的標準，強調必須有明確的共同行為和意圖，才能構成詐欺罪。
法院強調被告缺乏明確的犯罪意圖，認為單純的行為並不等同於詐欺，必須有意圖的證據支持。
法院認為即使被告參與某些行為，但未能證明其有詐欺的故意，因此無法成立共同詐欺的罪名。
法院指出在詐欺案件中，證據必須清晰且具體，僅有模糊或間接的證據無法支撐有罪判決。",113-TW-0065
參與洗錢行為,TRUE,23,23, 1.00 ,"《洗錢防制法》第14條, 《洗錢防制法》第19條, 《洗錢防制法》第19條第1項, 《洗錢防制法》第2條","協助詐欺集團隱匿詐騙所得，並提供他人帳戶資料以供使用。
管理人頭帳戶，負責資金的轉移及提領，隱匿資金來源。
提供銀行帳戶給詐欺集團，並依指示進行資金的轉換或提領。
將提領的贓款轉交給詐欺集團的上游成員或其他共犯。
明知款項來源不明，仍協助轉移詐騙所得至其他帳戶。","被告與詐欺集團成員的聯繫紀錄顯示其參與洗錢行為。此模式在多個案件中出現，例如案件編號113-TW-1564和113-TW-0080，均有通訊紀錄證明被告與詐欺集團的合作。
銀行交易明細顯示異常資金流動，通常涉及大量提領或轉帳。此模式在案件編號111-TW-0579和113-TW-1111中均有體現，顯示被告的帳戶有可疑的資金進出。
被告的供述與其他證據相符，證明其參與洗錢行為。案件編號112-TW-0110和113-TW-0015中，被告的自白與證人證詞一致，強化了其犯罪行為的證據。
證人證述確認被告的參與行為，這在案件編號113-TW-0650中明顯，證人提供的證詞對被告的罪行構成了重要支持。
監視器畫面顯示被告提領詐騙款項，這一模式在案件編號113-TW-0422和113-TW-1825中均有出現，視覺證據強化了被告的犯罪行為。","未獲取報酬，並否認有洗錢行為。
主張行為並非故意洗錢，僅是協助他人，且不知該行為違法。
聲稱不知該款項為詐騙所得，並未獲取報酬。
表示行為是依照他人指示進行，並非故意掩飾犯罪所得。
主張行為是為了協助朋友，並不知情該行為為洗錢。","被告的行為符合洗錢的構成要件，且無法證明其未參與洗錢行為。
被告應該能合理預見其行為可能涉及洗錢，辯解無法改變其參與洗錢的事實。
被告的辯詞缺乏可信度，法院依據證據作出判決，無法推翻其罪責。
被告的行為對社會造成了不良影響，應予以懲處，且辯解無法成立。
被告的行為助長了詐欺集團的運作，影響社會秩序，未能證明其無罪。","111-TW-0360, 111-TW-0579, 113-TW-0650, 112-TW-0110, 113-TW-1301"
參與詐欺集團並提供帳戶,TRUE,5,7, 0.71 ,"《刑法》第339條之4, 《洗錢防制法》第14條, 《洗錢防制法》第22條第3項, 《組織犯罪防制條例》第3條","被告明知詐騙集團的目的，仍提供金融機構帳戶作為資金斷點，協助隱匿資金流向。
被告在詐欺集團中擔任重要角色，積極參與策劃及執行詐騙行為。
被告將其名下金融機構帳戶資料及網路銀行帳號密碼提供給詐欺集團成員，助長詐騙行為。
被告與詐欺集團成員期約提供帳戶，並交付提款卡及密碼，明知可能被用於詐欺。
被告將帳戶提供給不詳詐騙集團成員使用，明知其行為可能涉及洗錢及詐欺。","被告自白承認提供帳戶作為詐騙用途，顯示其明知行為的違法性。
證人證述及交易明細顯示被告參與詐騙行為，強化其在詐騙集團中的角色。
銀行交易明細顯示異常交易，作為被告帳戶被用於詐騙的直接證據。
通訊紀錄顯示被告與詐騙集團成員的聯繫，證明其參與詐騙活動的意圖。
監視器錄影畫面顯示被告提領詐騙款項，提供具體的行為證據。","未參與詐欺行為，僅提供帳戶使用，對詐騙行為缺乏認識。
提供帳戶是為了工作，並未預見會被用於犯罪。
未獲取報酬，試圖與被害人和解，認為不應承擔刑責。
未參與詐欺集團的策劃，行為不構成組織犯罪。
基於幫助詐欺及洗錢的故意，將帳戶提供給詐騙集團使用的指控缺乏證據。","被告明知詐騙行為，仍提供帳戶，符合犯罪構成要件。
被告的行為符合組織犯罪的構成要件。
被告應可預見帳戶可能被用於不法，但仍選擇交付，符合犯罪構成要件。
被告的行為助長詐欺犯罪，且其主觀上應知其行為可能被用於不法。
被告的行為已構成幫助洗錢罪，且其行為助長詐欺風氣。","113-TW-0650, 113-TW-0008, 113-TW-0482, 113-TW-0344"
參與詐欺集團並提供帳戶,FALSE,2,7, 0.29 ,《洗錢防制法》第14條,"提供帳戶資訊以求職為由，聲稱不知詐欺行為的可能性。
主動提供金融帳戶及提款密碼，顯示對詐欺集團的合作意圖。
在不明確了解帳戶用途的情況下，仍然提供帳戶給他人。
依照詐欺集團的指示進行提款，顯示對其要求的順從。
聲稱受騙或被誤導，試圖減輕自身責任。","被告與詐欺集團成員的通訊紀錄顯示缺乏犯罪意圖，可能只是普通交流。
證人證述表明被告對詐欺集團的活動並不知情，且未參與任何犯罪行為。
銀行交易明細顯示的匯款紀錄並未直接指向被告的犯罪行為，可能是合法交易。
被告提供的帳戶資料缺乏證據證明其明知該帳戶將被用於詐欺活動。
被告的行為在法律上可解釋為無意識的協助，並不構成犯罪。","被告主張自己並不知情，並且提供帳戶是出於求職需要，未意識到可能涉及犯罪行為。
被告強調未提供提款卡及密碼，並自行保管帳戶，顯示其並未完全控制該帳戶的使用。
被告引用前案已被起訴的事實，主張本案不應再受理，強調法律的重複起訴禁止原則。
被告辯稱其行為缺乏犯罪故意，因為其並未預見帳戶會被用於詐欺活動。
被告強調缺乏證據證明其知悉帳戶被用於犯罪，主張應以無罪推定原則進行判決。","法院認為證據不足以證明被告有詐欺取財或洗錢的故意，強調主觀意圖的缺乏是無罪的關鍵因素。
法院指出被告的行為未達到共同詐欺的標準，強調行為的主觀意圖與客觀行為的區別。
法院認為無法證明被告對詐欺行為的預見性，這使得其行為不構成犯罪。
法院認為本案與前案具有想像競合犯之關係，導致不受理本案，顯示出對案件重複性的考量。
法院強調在缺乏直接證據的情況下，無法推定被告的犯罪意圖，這在法律上構成無罪的依據。","113-TW-0065, 113-TW-1624"
以幫助的方式參與詐欺行為,TRUE,100,118, 0.85 ,"《刑法》第216條, 《刑法》第30條, 《刑法》第30條第1項, 《刑法》第339條, 《洗錢防制法》第14條, 《洗錢防制法》第19條","提供銀行或金融帳戶給詐欺集團使用，明知該行為可能涉及詐欺。
提供帳戶資料（如提款卡、密碼）給詐欺集團，協助其進行詐騙。
協助詐欺集團進行資金轉移，明知該行為可能導致他人損失。
未查證對方身份，直接交付帳戶資料，助長詐欺行為的發生。
提供必要的金融工具（如帳戶、提款卡）給詐欺集團，明知其用途。","被告提供銀行帳戶供詐欺集團使用，並承認其行為的幫助性質。
被告的供述與證人證言一致，確認其參與詐欺行為。
被告的銀行交易紀錄顯示其帳戶被用於詐騙活動。
被告的行為直接導致詐欺集團得以實施詐騙。
被告與詐欺集團成員的通訊紀錄顯示其參與意圖。","被告主張其行為並非故意，且未獲取任何利益。
被告聲稱不知該帳戶會被用於詐騙。
被告主張其行為並未直接參與詐欺，僅提供帳戶。
被告表示其行為是出於信任對方的誤解。
被告主張其行為是出於經濟困境，並未獲得報酬。","被告的行為符合幫助犯的定義，應依法處罰。
被告的行為已構成幫助詐欺，且其辯解不具說服力。
被告的行為對社會造成了負面影響，應依法懲處。
被告的主觀故意明確，且其行為助長詐欺風氣。
被告的辯解未能推翻其犯罪事實的認定。","111-TW-0729, 112-TW-0107, 112-TW-1343, 112-TW-1484, 113-TW-1499"
